test 	Be-10_(qtz) 	0.00797 	60.1 	7.96 	9.29 	0.00863 	65.1 	8.61 	9.92 	0.0076 	57.3 	7.59 	8.33
test 	Be-10_(qtz) 	0.00786 	59.3 	10 	11.1 	0.00852 	64.3 	10.8 	11.9 	0.0075 	56.6 	9.55 	10.1
test 	Be-10_(qtz) 	0.00787 	59.4 	8.1 	9.38 	0.00853 	64.4 	8.77 	10 	0.00751 	56.7 	7.73 	8.44
test 	Be-10_(qtz) 	0.00793 	59.8 	8.59 	9.82 	0.00859 	64.8 	9.29 	10.5 	0.00756 	57.1 	8.19 	8.87
test 	Be-10_(qtz) 	0.00795 	60 	9.57 	10.7 	0.00861 	65 	10.4 	11.5 	0.00758 	57.2 	9.13 	9.74
test 	Be-10_(qtz) 	0.00794 	59.9 	9.35 	10.5 	0.0086 	64.9 	10.1 	11.2 	0.00757 	57.2 	8.92 	9.55
test 	Be-10_(qtz) 	0.00786 	59.3 	8.54 	9.76 	0.00852 	64.3 	9.25 	10.5 	0.0075 	56.6 	8.15 	8.82
test 	Be-10_(qtz) 	0.00798 	60.2 	8.23 	9.53 	0.00864 	65.2 	8.91 	10.2 	0.00761 	57.4 	7.86 	8.57
test 	Be-10_(qtz) 	0.00795 	60 	9.75 	10.9 	0.00861 	65 	10.6 	11.6 	0.00758 	57.2 	9.3 	9.91
test 	Be-10_(qtz) 	0.00782 	59 	9.79 	10.9 	0.00848 	64 	10.6 	11.7 	0.00746 	56.3 	9.35 	9.93
test 	Be-10_(qtz) 	0.00787 	59.4 	10 	11.1 	0.00853 	64.4 	10.8 	11.9 	0.00751 	56.6 	9.54 	10.1
test 	Be-10_(qtz) 	0.00791 	59.7 	8.42 	9.67 	0.00857 	64.7 	9.11 	10.3 	0.00754 	56.9 	8.03 	8.72
test 	Be-10_(qtz) 	0.0079 	59.7 	9.35 	10.5 	0.00856 	64.6 	10.1 	11.2 	0.00754 	56.9 	8.92 	9.54
test 	Be-10_(qtz) 	0.00785 	59.2 	8.46 	9.69 	0.00851 	64.2 	9.17 	10.4 	0.00749 	56.5 	8.08 	8.75
test 	Be-10_(qtz) 	0.00771 	58.2 	9.59 	10.7 	0.00837 	63.2 	10.4 	11.5 	0.00736 	55.5 	9.16 	9.74
test 	Be-10_(qtz) 	0.00807 	60.9 	8.45 	9.75 	0.00873 	65.9 	9.13 	10.4 	0.0077 	58.1 	8.06 	8.77
test 	Be-10_(qtz) 	0.00786 	59.4 	8.96 	10.1 	0.00853 	64.3 	9.7 	10.9 	0.0075 	56.6 	8.55 	9.19
test 	Be-10_(qtz) 	0.00784 	59.1 	9.24 	10.4 	0.0085 	64.1 	10 	11.1 	0.00748 	56.4 	8.82 	9.44
test 	Be-10_(qtz) 	0.00777 	58.6 	9.8 	10.9 	0.00843 	63.6 	10.6 	11.7 	0.00741 	55.9 	9.36 	9.94
test 	Be-10_(qtz) 	0.00777 	58.6 	10.6 	11.6 	0.00843 	63.6 	11.5 	12.5 	0.00741 	56 	10.1 	10.7
test 	Be-10_(qtz) 	0.0077 	58.1 	9.74 	10.8 	0.00836 	63.1 	10.6 	11.6 	0.00735 	55.5 	9.31 	9.88
test 	Be-10_(qtz) 	0.00786 	59.3 	8.34 	9.59 	0.00852 	64.3 	9.03 	10.3 	0.0075 	56.6 	7.96 	8.64
test 	Be-10_(qtz) 	0.00783 	59.1 	9.89 	11 	0.00849 	64.1 	10.7 	11.8 	0.00747 	56.4 	9.44 	10
test 	Be-10_(qtz) 	0.008 	60.4 	8.37 	9.65 	0.00866 	65.4 	9.05 	10.3 	0.00763 	57.6 	7.98 	8.69
test 	Be-10_(qtz) 	0.00777 	58.6 	8.43 	9.64 	0.00843 	63.6 	9.14 	10.3 	0.00741 	55.9 	8.05 	8.71
test 	Be-10_(qtz) 	0.00777 	58.6 	9.1 	10.2 	0.00843 	63.6 	9.87 	11 	0.00742 	56 	8.69 	9.31
test 	Be-10_(qtz) 	0.00791 	59.7 	8.67 	9.89 	0.00858 	64.7 	9.39 	10.6 	0.00755 	57 	8.27 	8.94
test 	Be-10_(qtz) 	0.0079 	59.6 	8.99 	10.2 	0.00856 	64.6 	9.73 	10.9 	0.00754 	56.9 	8.58 	9.22
test 	Be-10_(qtz) 	0.00792 	59.7 	9.6 	10.7 	0.00858 	64.7 	10.4 	11.5 	0.00755 	57 	9.16 	9.77
test 	Be-10_(qtz) 	0.00796 	60.1 	8.75 	9.98 	0.00862 	65 	9.47 	10.7 	0.00759 	57.3 	8.35 	9.02
test 	Be-10_(qtz) 	0.00789 	59.6 	9.24 	10.4 	0.00855 	64.6 	10 	11.1 	0.00753 	56.8 	8.81 	9.44
test 	Be-10_(qtz) 	0.00788 	59.5 	9.33 	10.5 	0.00854 	64.5 	10.1 	11.2 	0.00752 	56.8 	8.9 	9.52
test 	Be-10_(qtz) 	0.00794 	60 	8.51 	9.76 	0.0086 	64.9 	9.21 	10.4 	0.00758 	57.2 	8.12 	8.81
test 	Be-10_(qtz) 	0.0077 	58.1 	10.3 	11.3 	0.00836 	63.1 	11.1 	12.1 	0.00735 	55.5 	9.81 	10.4
test 	Be-10_(qtz) 	0.00793 	59.8 	8.87 	10.1 	0.00859 	64.8 	9.6 	10.8 	0.00756 	57.1 	8.46 	9.12
test 	Be-10_(qtz) 	0.0078 	58.9 	10.7 	11.7 	0.00846 	63.9 	11.6 	12.6 	0.00744 	56.2 	10.2 	10.8
test 	Be-10_(qtz) 	0.008 	60.4 	8.69 	9.93 	0.00866 	65.3 	9.4 	10.6 	0.00763 	57.6 	8.29 	8.97
test 	Be-10_(qtz) 	0.0079 	59.6 	10 	11.1 	0.00856 	64.6 	10.9 	11.9 	0.00753 	56.8 	9.58 	10.2
test 	Be-10_(qtz) 	0.00789 	59.5 	8.56 	9.79 	0.00855 	64.5 	9.27 	10.5 	0.00752 	56.8 	8.17 	8.84
test 	Be-10_(qtz) 	0.00785 	59.2 	9.48 	10.6 	0.00851 	64.2 	10.3 	11.4 	0.00749 	56.5 	9.05 	9.66
test 	Be-10_(qtz) 	0.00796 	60.1 	8.56 	9.81 	0.00862 	65 	9.26 	10.5 	0.00759 	57.3 	8.17 	8.85
test 	Be-10_(qtz) 	0.00775 	58.5 	10.5 	11.5 	0.00841 	63.5 	11.4 	12.4 	0.0074 	55.8 	10 	10.6
test 	Be-10_(qtz) 	0.0078 	58.9 	7.96 	9.24 	0.00846 	63.9 	8.63 	9.89 	0.00745 	56.2 	7.6 	8.31
test 	Be-10_(qtz) 	0.00787 	59.4 	8.7 	9.91 	0.00853 	64.4 	9.42 	10.6 	0.00751 	56.7 	8.3 	8.96
test 	Be-10_(qtz) 	0.00791 	59.7 	8 	9.31 	0.00857 	64.7 	8.66 	9.95 	0.00755 	57 	7.64 	8.36
test 	Be-10_(qtz) 	0.00803 	60.6 	8.01 	9.35 	0.00869 	65.6 	8.66 	9.98 	0.00766 	57.8 	7.64 	8.38
test 	Be-10_(qtz) 	0.00777 	58.7 	9.47 	10.6 	0.00843 	63.6 	10.3 	11.3 	0.00742 	56 	9.04 	9.64
test 	Be-10_(qtz) 	0.00798 	60.3 	8.69 	9.93 	0.00864 	65.2 	9.4 	10.6 	0.00761 	57.5 	8.29 	8.97
test 	Be-10_(qtz) 	0.0079 	59.6 	8.99 	10.2 	0.00856 	64.6 	9.73 	10.9 	0.00753 	56.9 	8.58 	9.22
test 	Be-10_(qtz) 	0.00793 	59.8 	9.01 	10.2 	0.00859 	64.8 	9.75 	10.9 	0.00756 	57 	8.6 	9.25
test 	Be-10_(qtz) 	0.00789 	59.5 	8.91 	10.1 	0.00855 	64.5 	9.65 	10.8 	0.00753 	56.8 	8.51 	9.16
test 	Be-10_(qtz) 	0.00794 	59.9 	9.43 	10.6 	0.0086 	64.9 	10.2 	11.3 	0.00757 	57.1 	9 	9.62
test 	Be-10_(qtz) 	0.00795 	60 	8.85 	10.1 	0.00862 	65 	9.58 	10.8 	0.00759 	57.3 	8.44 	9.11
test 	Be-10_(qtz) 	0.00796 	60.1 	8.21 	9.51 	0.00862 	65 	8.89 	10.2 	0.00759 	57.3 	7.84 	8.55
test 	Be-10_(qtz) 	0.00793 	59.9 	8.92 	10.1 	0.00859 	64.9 	9.66 	10.8 	0.00757 	57.1 	8.51 	9.17
test 	Be-10_(qtz) 	0.00801 	60.4 	9.51 	10.7 	0.00867 	65.4 	10.3 	11.4 	0.00764 	57.6 	9.07 	9.7
test 	Be-10_(qtz) 	0.00796 	60.1 	9.61 	10.7 	0.00862 	65.1 	10.4 	11.5 	0.00759 	57.3 	9.17 	9.78
test 	Be-10_(qtz) 	0.00822 	62 	9.99 	11.1 	0.00888 	67 	10.8 	11.9 	0.00783 	59.1 	9.52 	10.2
test 	Be-10_(qtz) 	0.00827 	62.4 	10.1 	11.3 	0.00893 	67.4 	10.9 	12 	0.00788 	59.4 	9.63 	10.3
test 	Be-10_(qtz) 	0.00856 	64.6 	10.6 	11.8 	0.00922 	69.6 	11.4 	12.5 	0.00815 	61.5 	10.1 	10.7
test 	Be-10_(qtz) 	0.00795 	60 	8.45 	9.71 	0.00861 	64.9 	9.14 	10.4 	0.00758 	57.2 	8.06 	8.75
test 	Be-10_(qtz) 	0.00799 	60.3 	8.34 	9.63 	0.00865 	65.3 	9.02 	10.3 	0.00762 	57.5 	7.95 	8.66
test 	Be-10_(qtz) 	0.00787 	59.4 	8.46 	9.69 	0.00853 	64.4 	9.16 	10.4 	0.00751 	56.7 	8.07 	8.75
test 	Be-10_(qtz) 	0.00794 	59.9 	9.41 	10.6 	0.0086 	64.9 	10.2 	11.3 	0.00757 	57.2 	8.98 	9.61
test 	Be-10_(qtz) 	0.0078 	58.9 	10.1 	11.1 	0.00846 	63.9 	11 	12 	0.00744 	56.2 	9.65 	10.2
test 	Be-10_(qtz) 	0.00778 	58.7 	9.5 	10.6 	0.00844 	63.7 	10.3 	11.4 	0.00742 	56 	9.07 	9.67
test 	Be-10_(qtz) 	0.00796 	60.1 	9.12 	10.3 	0.00862 	65 	9.87 	11 	0.00759 	57.3 	8.7 	9.34
test 	Be-10_(qtz) 	0.008 	60.4 	8.45 	9.73 	0.00866 	65.3 	9.14 	10.4 	0.00763 	57.6 	8.06 	8.76
test 	Be-10_(qtz) 	0.00794 	60 	9.57 	10.7 	0.0086 	64.9 	10.4 	11.5 	0.00758 	57.2 	9.13 	9.75
test 	Be-10_(qtz) 	0.00792 	59.8 	8.48 	9.73 	0.00858 	64.8 	9.18 	10.4 	0.00755 	57 	8.09 	8.77
test 	Be-10_(qtz) 	0.00793 	59.9 	10.7 	11.8 	0.00859 	64.9 	11.6 	12.6 	0.00757 	57.1 	10.3 	10.8
test 	Be-10_(qtz) 	0.00775 	58.5 	9.64 	10.7 	0.00841 	63.5 	10.5 	11.5 	0.0074 	55.8 	9.21 	9.79
test 	Be-10_(qtz) 	0.00785 	59.2 	8.28 	9.54 	0.00851 	64.2 	8.97 	10.2 	0.00749 	56.5 	7.9 	8.59
test 	Be-10_(qtz) 	0.00787 	59.4 	10 	11.1 	0.00853 	64.4 	10.8 	11.9 	0.00751 	56.7 	9.55 	10.1
test 	Be-10_(qtz) 	0.00785 	59.2 	9.24 	10.4 	0.00851 	64.2 	10 	11.1 	0.00749 	56.5 	8.82 	9.44
test 	Be-10_(qtz) 	0.00801 	60.5 	8.43 	9.71 	0.00867 	65.5 	9.12 	10.4 	0.00764 	57.7 	8.04 	8.75
test 	Be-10_(qtz) 	0.00786 	59.3 	8.45 	9.69 	0.00852 	64.3 	9.15 	10.4 	0.0075 	56.6 	8.07 	8.74
test 	Be-10_(qtz) 	0.0079 	59.7 	8.84 	10 	0.00856 	64.6 	9.57 	10.7 	0.00754 	56.9 	8.43 	9.09
test 	Be-10_(qtz) 	0.00796 	60.1 	8.68 	9.92 	0.00862 	65.1 	9.4 	10.6 	0.00759 	57.3 	8.29 	8.96
test 	Be-10_(qtz) 	0.00783 	59.1 	8.59 	9.8 	0.00849 	64.1 	9.31 	10.5 	0.00747 	56.4 	8.2 	8.86
test 	Be-10_(qtz) 	0.00784 	59.2 	9.43 	10.5 	0.0085 	64.2 	10.2 	11.3 	0.00748 	56.5 	9 	9.61
test 	Be-10_(qtz) 	0.00801 	60.4 	8.64 	9.9 	0.00867 	65.4 	9.35 	10.6 	0.00764 	57.6 	8.25 	8.93
test 	Be-10_(qtz) 	0.00809 	61 	8.32 	9.64 	0.00875 	66 	8.99 	10.3 	0.00771 	58.2 	7.93 	8.66
test 	Be-10_(qtz) 	0.00816 	61.6 	7.91 	9.31 	0.00882 	66.6 	8.55 	9.92 	0.00777 	58.7 	7.55 	8.32
test 	Be-10_(qtz) 	0.00822 	62.1 	8.77 	10.1 	0.00888 	67 	9.46 	10.7 	0.00783 	59.1 	8.35 	9.07
test 	Be-10_(qtz) 	0.00809 	61.1 	10.8 	11.8 	0.00875 	66.1 	11.6 	12.7 	0.00771 	58.2 	10.3 	10.8
test 	Be-10_(qtz) 	0.00843 	63.6 	10 	11.3 	0.00909 	68.6 	10.8 	12 	0.00803 	60.6 	9.57 	10.2
test 	Be-10_(qtz) 	0.00863 	65.1 	10.3 	11.6 	0.00928 	70.1 	11.1 	12.3 	0.00821 	61.9 	9.83 	10.5
test 	Be-10_(qtz) 	0.00872 	65.8 	11.7 	12.8 	0.00937 	70.7 	12.5 	13.6 	0.00829 	62.6 	11.1 	11.7
test 	Be-10_(qtz) 	0.0088 	66.4 	10.8 	12 	0.00946 	71.4 	11.6 	12.8 	0.00837 	63.2 	10.2 	10.9
test 	Be-10_(qtz) 	0.00776 	58.5 	9.97 	11 	0.00842 	63.5 	10.8 	11.8 	0.0074 	55.9 	9.52 	10.1
test 	Be-10_(qtz) 	0.00784 	59.2 	9.77 	10.8 	0.0085 	64.2 	10.6 	11.6 	0.00748 	56.5 	9.32 	9.91
test 	Be-10_(qtz) 	0.0078 	58.9 	9.53 	10.6 	0.00846 	63.9 	10.3 	11.4 	0.00744 	56.2 	9.1 	9.69
test 	Be-10_(qtz) 	0.00786 	59.3 	8.33 	9.58 	0.00852 	64.3 	9.02 	10.3 	0.0075 	56.6 	7.95 	8.64
test 	Be-10_(qtz) 	0.00797 	60.2 	9.02 	10.2 	0.00863 	65.2 	9.76 	10.9 	0.0076 	57.4 	8.61 	9.26
test 	Be-10_(qtz) 	0.00802 	60.5 	8.3 	9.61 	0.00868 	65.5 	8.98 	10.3 	0.00765 	57.7 	7.92 	8.64
test 	Be-10_(qtz) 	0.00795 	60 	8.67 	9.9 	0.00861 	65 	9.38 	10.6 	0.00758 	57.2 	8.27 	8.95
test 	Be-10_(qtz) 	0.00797 	60.1 	9.13 	10.3 	0.00863 	65.1 	9.88 	11 	0.0076 	57.4 	8.71 	9.35
test 	Be-10_(qtz) 	0.00789 	59.6 	8.93 	10.1 	0.00855 	64.5 	9.67 	10.8 	0.00753 	56.8 	8.52 	9.17
test 	Be-10_(qtz) 	0.00778 	58.7 	9.04 	10.2 	0.00844 	63.7 	9.8 	10.9 	0.00742 	56 	8.63 	9.25
test 	Be-10_(qtz) 	0.00799 	60.3 	8.07 	9.4 	0.00866 	65.3 	8.73 	10 	0.00762 	57.5 	7.7 	8.43
test 	Be-10_(qtz) 	0.00783 	59.1 	9.9 	11 	0.00849 	64 	10.7 	11.8 	0.00747 	56.4 	9.45 	10
test 	Be-10_(qtz) 	0.00795 	60 	8.51 	9.76 	0.00861 	65 	9.21 	10.4 	0.00758 	57.2 	8.12 	8.81
test 	Be-10_(qtz) 	0.00763 	57.6 	10.3 	11.3 	0.00829 	62.6 	11.2 	12.2 	0.00729 	55 	9.87 	10.4
test 	Be-10_(qtz) 	0.00795 	60 	8.82 	10 	0.00862 	65 	9.54 	10.7 	0.00759 	57.3 	8.41 	9.08
test 	Be-10_(qtz) 	0.00805 	60.7 	7.46 	8.89 	0.00871 	65.7 	8.07 	9.48 	0.00767 	57.9 	7.12 	7.91
test 	Be-10_(qtz) 	0.00791 	59.7 	9.57 	10.7 	0.00857 	64.7 	10.4 	11.5 	0.00755 	56.9 	9.13 	9.74
test 	Be-10_(qtz) 	0.00798 	60.2 	9.49 	10.6 	0.00864 	65.2 	10.3 	11.4 	0.00761 	57.4 	9.06 	9.68
test 	Be-10_(qtz) 	0.00798 	60.3 	9.08 	10.3 	0.00864 	65.2 	9.82 	11 	0.00761 	57.5 	8.66 	9.32
test 	Be-10_(qtz) 	0.00807 	60.9 	7.94 	9.31 	0.00873 	65.9 	8.58 	9.92 	0.00769 	58.1 	7.57 	8.32
test 	Be-10_(qtz) 	0.00821 	62 	8.33 	9.69 	0.00887 	66.9 	8.99 	10.3 	0.00782 	59 	7.94 	8.68
test 	Be-10_(qtz) 	0.00805 	60.7 	10.5 	11.5 	0.00871 	65.7 	11.3 	12.4 	0.00767 	57.9 	9.98 	10.6
test 	Be-10_(qtz) 	0.00809 	61 	11.7 	12.7 	0.00875 	66 	12.7 	13.6 	0.00771 	58.2 	11.2 	11.7
test 	Be-10_(qtz) 	0.00829 	62.5 	10 	11.2 	0.00895 	67.5 	10.8 	11.9 	0.00789 	59.6 	9.53 	10.2
test 	Be-10_(qtz) 	0.00841 	63.4 	11.1 	12.2 	0.00907 	68.4 	11.9 	13 	0.008 	60.4 	10.5 	11.1
test 	Be-10_(qtz) 	0.00858 	64.7 	11.5 	12.6 	0.00924 	69.7 	12.3 	13.4 	0.00816 	61.6 	10.9 	11.5
test 	Be-10_(qtz) 	0.00874 	66 	10.3 	11.5 	0.0094 	71 	11 	12.3 	0.00832 	62.8 	9.76 	10.4
test 	Be-10_(qtz) 	0.00895 	67.6 	9.69 	11.1 	0.00961 	72.5 	10.4 	11.8 	0.00851 	64.2 	9.21 	9.98
test 	Be-10_(qtz) 	0.00877 	66.2 	12.3 	13.4 	0.00942 	71.1 	13.2 	14.2 	0.00834 	62.9 	11.7 	12.3
test 	Be-10_(qtz) 	0.00892 	67.3 	11.6 	12.8 	0.00958 	72.3 	12.4 	13.6 	0.00848 	64 	11 	11.6
test 	Be-10_(qtz) 	0.00785 	59.2 	9.38 	10.5 	0.00851 	64.2 	10.2 	11.3 	0.00749 	56.5 	8.95 	9.57
test 	Be-10_(qtz) 	0.00784 	59.2 	9.47 	10.6 	0.0085 	64.1 	10.3 	11.4 	0.00748 	56.5 	9.04 	9.65
test 	Be-10_(qtz) 	0.00788 	59.5 	10.2 	11.3 	0.00854 	64.4 	11.1 	12.1 	0.00751 	56.7 	9.74 	10.3
test 	Be-10_(qtz) 	0.00789 	59.6 	9.07 	10.2 	0.00855 	64.5 	9.82 	11 	0.00753 	56.8 	8.65 	9.29
test 	Be-10_(qtz) 	0.00787 	59.4 	9.97 	11 	0.00853 	64.4 	10.8 	11.9 	0.00751 	56.7 	9.52 	10.1
test 	Be-10_(qtz) 	0.008 	60.4 	8.47 	9.74 	0.00866 	65.4 	9.16 	10.4 	0.00763 	57.6 	8.08 	8.78
test 	Be-10_(qtz) 	0.00791 	59.7 	8.74 	9.96 	0.00857 	64.7 	9.46 	10.7 	0.00754 	56.9 	8.34 	9.01
test 	Be-10_(qtz) 	0.00795 	60 	8.91 	10.1 	0.00861 	65 	9.64 	10.8 	0.00758 	57.2 	8.5 	9.16
test 	Be-10_(qtz) 	0.00795 	60 	8.48 	9.74 	0.00861 	65 	9.18 	10.4 	0.00758 	57.2 	8.1 	8.78
test 	Be-10_(qtz) 	0.0078 	58.9 	9.8 	10.9 	0.00846 	63.9 	10.6 	11.7 	0.00745 	56.2 	9.35 	9.93
test 	Be-10_(qtz) 	0.00774 	58.4 	9.49 	10.6 	0.0084 	63.4 	10.3 	11.4 	0.00739 	55.7 	9.06 	9.65
test 	Be-10_(qtz) 	0.00806 	60.8 	8.77 	10 	0.00872 	65.8 	9.49 	10.7 	0.00768 	58 	8.37 	9.05
test 	Be-10_(qtz) 	0.00803 	60.6 	8.26 	9.57 	0.00869 	65.6 	8.93 	10.2 	0.00766 	57.8 	7.88 	8.6
test 	Be-10_(qtz) 	0.00797 	60.2 	8.7 	9.94 	0.00863 	65.1 	9.42 	10.6 	0.0076 	57.4 	8.3 	8.98
test 	Be-10_(qtz) 	0.0081 	61.2 	9.3 	10.5 	0.00876 	66.1 	10 	11.2 	0.00772 	58.3 	8.86 	9.52
test 	Be-10_(qtz) 	0.00821 	62 	9.03 	10.3 	0.00887 	66.9 	9.74 	11 	0.00782 	59 	8.6 	9.3
test 	Be-10_(qtz) 	0.00813 	61.3 	9.1 	10.3 	0.00879 	66.3 	9.83 	11 	0.00774 	58.4 	8.68 	9.35
test 	Be-10_(qtz) 	0.00819 	61.8 	9.26 	10.5 	0.00885 	66.8 	10 	11.2 	0.00781 	58.9 	8.82 	9.5
test 	Be-10_(qtz) 	0.00816 	61.6 	9.69 	10.9 	0.00882 	66.6 	10.5 	11.6 	0.00778 	58.7 	9.24 	9.88
test 	Be-10_(qtz) 	0.00825 	62.3 	9.43 	10.7 	0.00891 	67.2 	10.2 	11.4 	0.00786 	59.3 	8.99 	9.66
test 	Be-10_(qtz) 	0.0083 	62.6 	10.5 	11.6 	0.00895 	67.6 	11.3 	12.4 	0.0079 	59.6 	9.99 	10.6
test 	Be-10_(qtz) 	0.0084 	63.4 	10.2 	11.3 	0.00906 	68.4 	10.9 	12.1 	0.008 	60.4 	9.68 	10.3
test 	Be-10_(qtz) 	0.00859 	64.9 	10.1 	11.3 	0.00925 	69.8 	10.8 	12 	0.00818 	61.7 	9.58 	10.3
test 	Be-10_(qtz) 	0.00857 	64.6 	10.6 	11.8 	0.00922 	69.6 	11.4 	12.5 	0.00815 	61.5 	10.1 	10.7
test 	Be-10_(qtz) 	0.00871 	65.8 	11.2 	12.3 	0.00937 	70.7 	12 	13.1 	0.00829 	62.5 	10.6 	11.3
test 	Be-10_(qtz) 	0.00894 	67.4 	10.6 	11.9 	0.00959 	72.4 	11.4 	12.6 	0.00849 	64.1 	10.1 	10.8
test 	Be-10_(qtz) 	0.00896 	67.6 	12.1 	13.3 	0.00961 	72.5 	13 	14.1 	0.00851 	64.2 	11.5 	12.1
test 	Be-10_(qtz) 	0.0089 	67.1 	12.1 	13.3 	0.00955 	72.1 	13 	14.1 	0.00846 	63.8 	11.5 	12.1
